City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,12.66,scattered clouds
297,Stornoway,GB,58.2093,-6.3865,53.92,88,40,11.5,scattered clouds
298,Faanui,PF,-16.4833,-151.75,80.71,71,19,10.76,few clouds
299,Kosikha,RU,53.3617,84.5822,57.2,51,38,8.23,scattered clouds
300,Akim Swedru,GH,5.8938,-1.0164,76.21,92,63,4.47,broken clouds
301,Farah,AF,32.5,62.5,76.03,16,0,6.24,clear sky
302,Nelson Bay,AU,-32.7167,152.15,57.99,99,56,1.01,moderate rain
303,Poshekhonye,RU,58.4993,39.1353,36.1,78,10,5.82,clear sky
304,Tanabe,JP,33.7333,135.3667,62.4,81,100,5.12,light rain
305,Springbok,ZA,-29.6643,17.8865,40.69,93,29,6.58,scattered clouds
306,Doha,QA,25.2867,51.5333,98.58,17,0,13.8,clear sky
307,Jumla,NP,29.2747,82.1838,54.12,74,54,2.82,broken clouds
308,Bardiyah,LY,31.7561,25.0865,64.65,60,0,10.56,clear sky
309,Lamu,KE,-2.2717,40.902,80.82,84,21,11.03,few clouds
310,Beaverlodge,CA,55.2166,-119.4361,47.3,33,12,5.48,few clouds
311,Riachao Das Neves,BR,-11.7461,-44.91,88.61,24,100,4.5,overcast clouds
312,Bayir,TR,37.2687,28.2167,59.52,63,9,2.59,clear sky
313,Belaya Gora,RU,68.5333,146.4167,43.56,78,9,10.96,clear sky
314,Urengoy,RU,65.9667,78.3667,43.95,78,100,11.25,overcast clouds
315,Dallas,US,32.7668,-96.7836,93.94,55,20,23.02,few clouds
316,Nanortalik,GL,60.1432,-45.2371,39.43,80,61,7.34,broken clouds
317,Itoman,JP,26.1247,127.6694,75.22,88,100,17.27,overcast clouds
318,Monticello,US,45.3055,-93.7941,66.38,48,20,19.57,few clouds
319,Port Hedland,AU,-20.3167,118.5667,73.45,100,100,4.61,overcast clouds
320,Mackenzie,CA,55.2999,-123.1698,53.24,27,100,7.96,overcast clouds
321,Severnyy,RU,50.677,36.5532,59.04,44,0,2.24,clear sky
322,Rosarito,MX,32.3333,-117.0333,68.41,72,80,15.79,broken clouds
323,Jinji,CN,23.2281,110.8261,72.99,95,88,2.26,overcast clouds
324,Kruisfontein,ZA,-34.0033,24.7314,54.88,89,100,5.48,light rain
325,Husavik,IS,66.0449,-17.3389,54.0,61,98,12.44,overcast clouds
326,Srednekolymsk,RU,67.45,153.6833,50.61,59,35,8.75,scattered clouds
327,Fasa,IR,28.9383,53.6482,80.91,10,0,8.32,clear sky
328,Esperance,AU,-33.8667,121.9,61.29,70,70,6.46,broken clouds
329,Shu,KZ,43.5983,73.7614,65.34,64,100,8.03,overcast clouds
330,Barcelos,PT,41.5388,-8.6151,80.85,55,100,6.62,overcast clouds
331,Mitsamiouli,KM,-11.3847,43.2844,80.4,70,9,8.59,clear sky
332,Villazon,BO,-22.0866,-65.5942,58.62,9,67,4.18,broken clouds
333,Fort Nelson,CA,58.8053,-122.7002,56.86,22,46,3.38,scattered clouds
334,Kiruna,SE,67.8557,20.2251,50.92,50,0,3.44,clear sky
335,Leningradskiy,RU,69.3833,178.4167,32.25,93,23,5.64,few clouds
336,Srivardhan,IN,18.0333,73.0167,81.82,82,100,5.88,overcast clouds
337,Miraflores,MX,19.2167,-98.8083,81.25,24,55,3.09,broken clouds
338,San Andres,CO,12.5847,-81.7006,87.82,70,75,6.91,broken clouds
339,Aksu,CN,41.1231,80.2644,77.07,26,100,7.94,overcast clouds
340,Kimberley,ZA,-28.7323,24.7623,51.96,88,100,19.19,light rain
341,Berlevag,NO,70.8578,29.0864,37.35,75,100,12.66,overcast clouds
342,Clyde River,CA,70.4692,-68.5914,24.58,75,100,10.38,overcast clouds
343,Gangapur,IN,26.4833,76.7167,98.74,14,17,10.16,few clouds
344,Anori,BR,-3.7728,-61.6442,85.46,53,59,1.1,broken clouds
345,Chicago,US,41.85,-87.65,83.28,56,100,18.41,overcast clouds
